sp_song_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,release_date,popularity
6G3NoUqDpqD3Rgfel2pD6s,0.789,0.411,6,-14.73,1,0.049,0.409,0.583,0.144,0.39,104.352,169133,1976-09,59
4GUaG3df9nbrj77GKEB76j,0.509,0.467,8,-4.94,1,0.0331,0.436,9.98e-06,0.0971,0.538,175.159,175593,2018-01-22,57
2lFlveK1y13WWp3vnQtrr3,0.643,0.569,7,-7.459,1,0.0276,0.544,2.17e-05,0.178,0.275,120.507,244600,2003,66
4xnXUpLndUdHwpj3lmSQBU,0.602,0.743,5,-6.579,0,0.0866,0.0417,0.0,0.476,0.437,140.938,231880,2008-12-08,36
1r43lDLqpKdUgCAXBSmIkq,0.639,0.42,1,-8.884,0,0.0327,0.309,0.00129,0.0917,0.568,142.634,261093,1977-03-08,37
1woP2La20omAvajMJVBNg8,0.439,0.975,6,-4.237,1,0.109,4.43e-05,0.0841,0.222,0.173,130.022,254955,2009-10-02,23
0KzNb2zzPUfRN8nJVjUyCv,0.248,0.763,4,-12.816,1,0.0592,0.0383,0.00839,0.125,0.384,140.176,309893,1987,26
5JhRYNgUcBzX3pnttGfu4p,0.528,0.99,7,-4.26,1,0.0896,7.97e-05,0.000155,0.117,0.127,133.985,210933,2003-10-20,26
4FZ8wtTaOAbYvyChBt4GEQ,0.556,0.327,0,-15.612,1,0.0311,0.467,1.32e-05,0.318,0.327,108.913,195160,1972-07-15,56
0KltioSHHDDSM7JKnMXgGv,0.365,0.858,5,-9.242,0,0.0961,0.013,2.15e-06,0.162,0.738,106.25,173933,1979,19
1RZrzUO3SIeyGcGTDyaRXh,0.56,0.922,11,-4.891,0,0.0751,2.82e-05,0.184,0.126,0.342,130.013,239800,2009,22
