sp_song_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,release_date,popularity,lda_topic_0,lda_topic_1,lda_topic_2,Playlists
0Hxty2K8F2DrrCXQyQVpBo,0.602,0.8759999999999999,11,-5.2120000000000015,1,0.0442,0.000122,7.16e-06,0.108,0.713,128.563,163667,1999,61,0.4586538672447205,0.5411645174026489,0.0,[77]
2iiVG1xHHu2zZrDNVm8NJ3,0.445,0.107,5,-12.351,1,0.0334,0.937,0.0,0.159,0.239,112.981,133933,1957,39,0.0,0.9954264760017396,0.0,"[55, 127]"
1KrOqTsy6nTZhKq26Vomqu,0.445,0.8140000000000001,4,-8.164,1,0.0456,0.000135,0.0209,0.0666,0.391,111.013,237507,2002,35,0.3795754909515381,0.6201028227806091,0.0,[112]
4Bh83s84d9YUiuLzeuF24N,0.7120000000000001,0.773,11,-4.595,0,0.271,0.0243,0.0,0.13,0.6990000000000001,100.409,234253,1998,46,0.5411949157714844,0.458692342042923,0.0,"[162, 166]"
1jcPcDu2YawPfLhwjYnqK2,0.438,0.349,4,-15.569,1,0.038,0.338,5.7e-05,0.417,0.6829999999999999,124.984,163587,1968,67,0.0,0.9976125955581664,0.0,"[30, 61, 65, 157]"
07IuSThN6YHAAollCnu1Ln,0.557,0.32,8,-8.874,1,0.0372,0.975,0.0,0.11,0.648,98.959,187000,1935,41,0.8411208391189575,0.1578657329082489,0.0,"[53, 126]"
1UH4viviUjZnS9aWgPGrk0,0.507,0.0779,0,-12.099,1,0.0544,0.866,0.00275,0.108,0.326,70.808,204400,1989,64,0.08547686785459517,0.913596510887146,0.0,"[6, 124, 128, 147]"
7bYKMJI4z6mApjLhv4hOBM,0.813,0.6579999999999999,9,-8.997,1,0.0714,0.205,0.000138,0.161,0.5710000000000001,74.432,292173,2002,50,0.24570903182029724,0.7541745901107788,0.0,"[71, 95]"
2qw9qgcPNCnq18WJLAm83x,0.513,0.763,1,-10.132,1,0.0387,3.9299999999999986e-05,0.0321,0.0425,0.523,124.51,237707,1986,40,0.6050966382026672,0.394445925951004,0.0,"[44, 78, 80]"
6l9fOwFZ2pZzGUAVnPM76l,0.267,0.16,8,-13.155,1,0.0362,0.6890000000000001,0.0,0.086,0.122,62.308,244973,1982,48,0.7043180465698242,0.2953169047832489,0.0,[17]
28eg5bkYvIHT7HPmzZFwLN,0.34700000000000003,0.8029999999999999,9,-4.923,1,0.0416,0.209,4.36e-06,0.116,0.672,85.36200000000002,281453,1981,64,0.2258637696504593,0.7738485336303711,0.0,"[0, 30, 41, 44, 48, 60, 80, 125]"
4TWDBIZt5tJwEqyNYPCY4V,0.493,0.37,1,-6.537000000000001,1,0.0299,0.731,0.0,0.113,0.23,123.134,237960,2006,43,0.06562178581953049,0.9341531991958618,0.0,"[19, 53, 126]"
0Ti3Msx3qTNejeRUtByOJF,0.187,0.947,11,-6.94,1,0.108,0.000381,0.00027400000000000005,0.16699999999999998,0.119,159.661,313973,1998,20,0.0,0.9983001351356506,0.0,[85]
00meczE1jpLTX0BBzIGrAR,0.764,0.84,2,-5.023,1,0.0672,0.393,8.64e-06,0.0686,0.843,130.276,148013,1962,60,0.9937635660171508,0.0,0.0,"[65, 118]"
3AMFDhgJx5sIYw1ukbiEk4,0.314,0.544,0,-9.419,1,0.0288,0.052000000000000005,0.007120000000000001,0.979,0.361,106.597,834867,1996,52,0.5656651258468628,0.4341329038143158,0.0,"[30, 46]"
4Dq749x2QP6OXTURJ9GGY8,0.593,0.607,1,-9.886,1,0.0283,0.147,0.0,0.128,0.953,128.365,181800,1967,58,0.5706244111061096,0.4291185438632965,0.0,"[115, 123, 132]"
5MIjLrGCsgIjLPRkmbAtRJ,0.355,0.34,2,-11.488,1,0.0263,0.284,5.59e-05,0.104,0.19,80.273,310507,1970,41,0.5891711115837097,0.4106472134590149,0.0,[128]
3F64pIPqvcujnwvcVLVZ64,0.408,0.544,3,-8.277000000000001,1,0.0333,0.653,0.0,0.512,0.446,119.112,194493,1968,55,0.6750065088272095,0.32473650574684143,0.0,"[65, 68]"
7cY7GAhOWKPGDeFzKEAyj2,0.442,0.327,9,-12.831,0,0.0267,0.772,0.0,0.325,0.318,95.394,246053,2011,53,0.0,0.9986385107040404,0.0,[1]
3496rr5XSGD6n1Z1OKXovb,0.618,0.7040000000000001,4,-4.686,1,0.0321,0.159,0.000262,0.358,0.741,124.218,165744,1964,64,0.6481730341911316,0.3516172170639038,0.0,"[1, 64, 68, 118]"
2DR9AzDhYeStkHupvU08FC,0.529,0.953,9,-4.562,1,0.0594,0.000129,0.000487,0.146,0.279,134.968,263160,2008,60,0.0,0.9980440735816956,0.0,"[77, 79, 82, 84]"
1Q94WI2punbv0tABeSch7n,0.527,0.947,4,-4.205,0,0.0574,0.000393,0.00372,0.075,0.206,142.00799999999995,226000,2005,48,0.8657199740409851,0.1333887279033661,0.0,[79]
4yym5ZJXwvg03d4kyhLVZO,0.648,0.527,4,-8.862,1,0.0515,0.405,0.0,0.0978,0.515,93.93,275053,2001,57,0.0,0.999250829219818,0.0,"[57, 59]"
2tRdlnrEb9OwGDUuRDJiXB,0.247,0.46,2,-13.513,1,0.0353,0.0867,0.0,0.0858,0.401,67.63,301200,1978,32,0.0,0.998921275138855,0.0,[42]
0J8A1ZVyJcRZxFNvtp6jRh,0.489,0.358,2,-10.413,1,0.0302,0.7609999999999999,0.018000000000000002,0.106,0.422,77.78399999999998,298027,1980,66,0.3471198379993439,0.6524321436882019,0.0,"[61, 115]"
2Ls0hHbYE4NGzgzfTX4kGu,0.472,0.393,6,-10.562,1,0.0395,0.509,0.0,0.0628,0.51,120.679,390547,1973,42,0.0,0.998479425907135,0.0,[123]
